ID,Domain,Method,Endpoint,Backend,Auth,Purpose (verify),Request,Response fields read,Call sites,Used in files,Co-called with,Vuex side effects,Issues,Disposition,Proposed /ops/v3 endpoint,Owner,Status,Notes
A-001,Activity log,POST,createActivity,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Activity — called from createAgentActivity(),body: <payload> (variable — inspect at runtime),data (raw),1,store.js,,commits: LOADING_API,LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-002,Agent & Attendance,POST,///operations/agent/verifyToken/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits verify Token — called from verifyToken(),body: token,data.message,2,components/login-token.vue | components/login.vue,,"  dispatches: authRequest, verifyAuthWithToken",malformed URL (double/triple slash),Not ported,,,Reviewed (Phase 1),Duplicate/malformed-URL entry for the same verify-token route as A-007 (which store.js actually wires to the UI). V3 does not implement the token-login flow at all in Phase 1 (see A-006/A-007 notes) — not ported either way.
A-003,Agent & Attendance,POST,/attendance,v2 · glacier (duplicate client),Bearer agentToken,Submits attendance — called from getAttendance(),body: date,"(not read, or read indirectly)",1,components/profile.vue,,,redundant `test` client,Migrated,"POST /attendance (unchanged path, via v2Client)",,Done (Phase 1),"Ported to src/services/attendance/attendance.api.js::getToday() + src/stores/attendance.store.js. ASSUMPTION (unverified): response is an array, today's record at data[0]; empty array/no record -> null. Date sent as ISO YYYY-MM-DD (src/utils/date.js::todayIsoDate) — format not documented, needs backend verification."
A-004,Agent & Attendance,POST,/attendance/punch/in,v2 · glacier (duplicate client),Bearer agentToken,Submits in — called from punchIn(),"body: device, lat, long, place","(not read, or read indirectly)",1,components/profile.vue,,,redundant `test` client,Migrated,"POST /attendance/punch/in (unchanged path, via v2Client)",,Done (Phase 1),"Ported to src/services/attendance/attendance.api.js::punchIn() + src/stores/attendance.store.js::punchIn(). Redundant `test` axios client eliminated — now uses the same v2Client as punch/out. `place` populated via reverse geocoding (see A-069); `device` sent as navigator.userAgent (format not documented, needs backend verification)."
A-005,Agent & Attendance,POST,/attendance/punch/out,v2 · glacier.on-track.in/api,Bearer agentToken,Submits out — called from punchOut(),"body: device, lat, long, place","(not read, or read indirectly)",1,components/profile.vue,,  dispatches: authLogout (CORRECTED 2026-09-18 — not accurate, see Notes),,Migrated,"POST /attendance/punch/out (unchanged path, via v2Client)",,Done (Phase 1),"Ported to src/services/attendance/attendance.api.js::punchOut() + src/stores/attendance.store.js::punchOut(). CORRECTED 2026-09-18: the documented `dispatches authLogout` side effect does not reflect components/profile.vue's real behavior — confirmed against the live running old app, punching out stays on the page and shows the day's final work duration (via a getAttendance() re-fetch), it does not log the agent out. src/pages/attendance/AttendancePage.vue behind a confirm dialog, but no longer navigates to /login on success."
A-006,Agent & Attendance,GET,/operations/agent/generateToken/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches generate Token — called from generateToken(),(none detected),"(not read, or read indirectly)",2,components/login-token.vue | components/login.vue,,,,Deferred,,,Reviewed (Phase 1),Token-login flow (login-token.vue) deferred out of Phase 1 scope — its trigger/purpose isn't documented clearly enough to build against without inventing behavior. Only standard username/password login (A-010) was implemented. Revisit if/when the real flow is confirmed.
A-007,Agent & Attendance,POST,/operations/agent/verifyToken/:id,v2 · glacier (no token),None,Submits verify Token — called from verifyAuthWithToken(),body: <user> (variable — inspect at runtime),"data.userData, data.userData.token",1,store.js,,"commits: AUTH_LOGOUT, LOADING_API, UPDATE_LOGIN, UPDATE_TOKEN",,Deferred,,,Reviewed (Phase 1),"Token-login flow deferred out of Phase 1 scope, same reasoning as A-006. Treated as the authoritative shape over the A-002 duplicate/malformed entry if/when this is implemented."
A-008,Agent & Attendance,GET,/operations/agentActivities,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches agent Activities — called from loadData(),"query: bookingId, limit, offset","(not read, or read indirectly)",2,components/v2/agentActivities.vue | components/vehicles/agentActivity.vue,,,,Migrated,GET /operations/agentActivities (unchanged),,Done (Phase 1 — Booking detail),"Ported to ontrack-ops-v3 src/services/bookings/agentActivities.api.js, used by the Activities tab. Response envelope { rows, count } matches the old app read; not independently re-confirmed live this session. Reused as-is for Phase 2 (Vehicle detail): ActivitiesTab.vue is used unmodified on VehicleDetailPage.vue, passed the vehicle's numeric id as its `bookingId` prop — replicates the old app's own (oddly-named but real) vehicleDetails.vue::`<agent-activities :bookingId=""vehicleData.id"">` pattern. Confirmed live 2026-09-07: a real vehicle-location-change activity rendered correctly this way."
A-009,Agent & Attendance,POST,/operations/agentActivities,v2 · glacier.on-track.in/api,Bearer agentToken,Submits agent Activities — called from createAgentActivity(),body: type,data.message,1,components/AllBookingDetailsV2.vue,,,,,,,Not started,
A-010,Agent & Attendance,POST,/profile/agent/v2/login,v2 · glacier (no token),None,Submits login — called from authRequest(),"body: { employeeId, password, deviceToken, device } — confirmed from real payload","data.userData, data.userData.token — request AND response both CONFIRMED live 2026-09-07",1,store.js,,"commits: LOADING_API, UPDATE_LOGIN, UPDATE_TOKEN",,Migrated,POST /profile/agent/v2/login (unchanged),,Done (Phase 1),"Ported to src/services/auth/auth.api.js::login() + src/stores/auth.store.js::login(). Body shape confirmed 2026-09-07 from a real request payload: { employeeId, password, deviceToken: null, device: <user agent> }. `device` reuses services/geolocation.js::getDeviceInfo(), same as punch in/out. Response shape also confirmed live: userData.name renders correctly in the app."
